"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","952","E confirma a exclusão","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","2809","Então a tarefa ""Comprar mantimentos"" deve ser exibida na lista de tarefas","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1633","Validar abertura do aplicativo","Abertura do Tasks.org","2026-08-11","passed","2026-08-11","","","",""
"","533","Então a tarefa ""Revisar relatório"" deve estar com o status ""concluída""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","6977","E informa o título ""Comprar mantimentos""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","148","E o usuário inicia a exclusão da tarefa","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1006","Então a tarefa ""Tarefa a ser excluída"" não deve ser exibida na lista de tarefas","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1000","E confirma a criação da tarefa","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","3708","Quando o usuário marca a tarefa ""Revisar relatório"" como ""concluída""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","6","Dado que o aplicativo Tasks.org foi iniciado","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","1224","E a tarefa ""Comprar mantimentos"" deve estar com o status ""pendente""","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Criar uma nova tarefa com título válido","Criação de Tarefas","2026-08-11","unknown","","","","",""
"","2256","Quando o usuário abre a tarefa ""Tarefa a ser excluída""","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","7507","E que existe uma tarefa cadastrada com o título ""Tarefa a ser excluída""","Exclusão de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","3346","E que o usuário está na tela principal de listagem de tarefas","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","441","Quando o usuário inicia a criação de uma nova tarefa","Criação de Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Excluir uma tarefa existente","Exclusão de Tarefas","2026-08-11","unknown","","","","",""
"","7074","Dado que existe uma tarefa cadastrada com o título ""Revisar relatório""","Gerenciamento de estados das Tarefas","2026-08-11","passed","2026-08-11","","","",""
"","","Concluir uma tarefa pendente","Gerenciamento de estados das Tarefas","2026-08-11","unknown","","","","",""
